Data	PnL_Lordo	PnL_Netto_Euro	Cumulata_Euro
2024-04-30	0.0	0.0	9861.5
2024-05-02	0.0	0.0	9861.5
2024-05-03	0.2	174.0	10035.5
2024-05-07	0.0	0.0	10035.5
2024-05-08	0.0	0.0	10035.5
2024-05-09	0.0	0.0	10035.5
2024-05-10	0.0	0.0	10035.5
2024-05-14	0.2	174.0	10209.5
2024-05-15	0.2	174.0	10383.5
2024-05-16	0.2	174.0	10557.5
2024-05-17	0.0	0.0	10557.5
2024-05-21	0.0	0.0	10557.5
2024-05-22	0.0	0.0	10557.5
2024-05-23	-0.125	-151.0	10406.5
2024-05-24	-0.2	-226.0	10180.5
2024-05-28	0.0	0.0	10180.5
2024-05-29	-0.2	-226.0	9954.5
2024-05-30	0.2	174.0	10128.5
2024-05-31	0.2	174.0	10302.5
2024-06-04	0.0	0.0	10302.5
2024-06-05	0.0	0.0	10302.5
2024-06-06	0.0	0.0	10302.5
2024-06-07	0.2	174.0	10476.5
2024-06-11	0.2	174.0	10650.5
2024-06-12	0.0	0.0	10650.5
2024-06-13	0.0	0.0	10650.5
2024-06-14	0.0	0.0	10650.5
2024-06-18	0.0	0.0	10650.5
2024-06-19	0.0	0.0	10650.5
2024-06-20	0.0	0.0	10650.5
2024-06-21	0.0	0.0	10650.5
2024-06-25	0.0	0.0	10650.5
2024-06-26	0.0	0.0	10650.5
2024-06-27	-0.2	-226.0	10424.5
2024-06-28	-0.2	-226.0	10198.5
2024-07-02	-0.2	-226.0	9972.5
2024-07-03	0.0	0.0	9972.5
2024-07-04	0.0	0.0	9972.5
2024-07-05	0.2	174.0	10146.5
2024-07-09	0.0	0.0	10146.5
2024-07-10	-0.012	-37.67	10108.83
2024-07-11	0.2	174.0	10282.83
2024-07-12	0.2	174.0	10456.83
2024-07-16	0.0	0.0	10456.83
2024-07-17	-0.2	-226.0	10230.83
2024-07-18	-0.2	-226.0	10004.83
2024-07-19	0.0	0.0	10004.83
2024-07-23	0.0	0.0	10004.83
2024-07-24	0.0	0.0	10004.83
2024-07-25	0.0	0.0	10004.83
2024-07-26	0.0	0.0	10004.83
2024-07-30	0.0	0.0	10004.83
2024-07-31	0.2	174.0	10178.83
2024-08-01	0.2	174.0	10352.83
2024-08-02	0.2	174.0	10526.83
2024-08-06	0.0	0.0	10526.83
2024-08-07	0.0	0.0	10526.83
2024-08-08	0.0	0.0	10526.83
2024-08-09	0.0	0.0	10526.83
2024-08-13	0.2	174.0	10700.83
2024-08-14	0.2	174.0	10874.83
2024-08-15	0.2	174.0	11048.83
2024-08-16	-0.2	-226.0	10822.83
2024-08-20	0.0	0.0	10822.83
2024-08-21	0.0	0.0	10822.83
2024-08-22	0.0	0.0	10822.83
2024-08-23	0.0	0.0	10822.83
2024-08-27	0.2	174.0	10996.83
2024-08-28	-0.2	-226.0	10770.83
2024-08-29	0.2	174.0	10944.83
2024-08-30	0.2	174.0	11118.83
2024-09-03	0.0	0.0	11118.83
2024-09-04	0.2	174.0	11292.83
2024-09-05	0.2	174.0	11466.83
2024-09-06	0.2	174.0	11640.83
2024-09-10	0.0	0.0	11640.83
2024-09-11	0.2	174.0	11814.83
2024-09-12	0.2	174.0	11988.83
2024-09-13	0.2	174.0	12162.83
2024-09-17	0.0	0.0	12162.83
2024-09-18	0.0	0.0	12162.83
2024-09-19	0.0	0.0	12162.83
2024-09-20	0.0	0.0	12162.83
2024-09-24	0.0	0.0	12162.83
2024-09-25	0.0	0.0	12162.83
2024-09-26	-0.2	-226.0	11936.83
2024-09-27	-0.2	-226.0	11710.83
2024-10-01	0.2	174.0	11884.83
2024-10-02	-0.2	-226.0	11658.83
2024-10-03	0.0	0.0	11658.83
2024-10-04	-0.2	-226.0	11432.83
2024-10-08	0.0	0.0	11432.83
2024-10-09	0.0	0.0	11432.83
2024-10-10	-0.2	-226.0	11206.83
2024-10-11	-0.2	-226.0	10980.83
2024-10-15	0.135	109.0	11089.83
2024-10-16	0.2	174.0	11263.83
2024-10-17	0.2	174.0	11437.83
2024-10-18	0.2	174.0	11611.83
2024-10-22	0.2	174.0	11785.83
2024-10-23	0.2	174.0	11959.83
2024-10-24	0.0	0.0	11959.83
2024-10-25	0.0	0.0	11959.83
2024-10-29	0.0	0.0	11959.83
2024-10-30	0.2	174.0	12133.83
2024-10-31	0.2	174.0	12307.83
2024-11-01	0.2	174.0	12481.83
2024-11-05	0.0	0.0	12481.83
2024-11-06	0.2	174.0	12655.83
2024-11-07	0.2	174.0	12829.83
2024-11-08	0.0	0.0	12829.83
2024-11-12	0.0	0.0	12829.83
