Data	PnL_Lordo	PnL_Netto_Euro	Cumulata_Euro
2024-01-11	0.0	0.0	984.0
2024-01-12	0.0	0.0	984.0
2024-01-16	0.0	0.0	984.0
2024-01-17	-0.04	-46.0	938.0
2024-01-18	0.15	144.0	1082.0
2024-01-19	0.0	0.0	1082.0
2024-01-23	0.0	0.0	1082.0
2024-01-24	0.0	0.0	1082.0
2024-01-25	0.0	0.0	1082.0
2024-01-26	0.0	0.0	1082.0
2024-01-30	0.0	0.0	1082.0
2024-01-31	0.0	0.0	1082.0
2024-02-01	0.0	0.0	1082.0
2024-02-02	0.0	0.0	1082.0
2024-02-06	0.0	0.0	1082.0
2024-02-07	0.0	0.0	1082.0
2024-02-08	0.0	0.0	1082.0
2024-02-09	0.0	0.0	1082.0
2024-02-13	0.0	0.0	1082.0
2024-02-14	0.0	0.0	1082.0
2024-02-15	-0.3	-306.0	776.0
2024-02-16	0.0	0.0	776.0
2024-02-20	0.0	0.0	776.0
2024-02-21	0.0	0.0	776.0
2024-02-22	0.0	0.0	776.0
2024-02-23	0.0	0.0	776.0
2024-02-27	0.0	0.0	776.0
2024-02-28	0.0	0.0	776.0
2024-02-29	0.0	0.0	776.0
2024-03-01	0.0	0.0	776.0
2024-03-05	0.07	64.0	840.0
2024-03-06	0.0	0.0	840.0
2024-03-07	0.0	0.0	840.0
2024-03-08	0.0	0.0	840.0
2024-03-12	0.0	0.0	840.0
2024-03-13	-0.3	-306.0	534.0
2024-03-14	0.0	0.0	534.0
2024-03-15	0.0	0.0	534.0
2024-03-19	0.0	0.0	534.0
2024-03-20	0.0	0.0	534.0
2024-03-21	0.0	0.0	534.0
2024-03-22	0.0	0.0	534.0
2024-03-26	0.0	0.0	534.0
2024-03-27	0.0	0.0	534.0
2024-03-28	0.0	0.0	534.0
2024-04-02	0.0	0.0	534.0
2024-04-03	0.0	0.0	534.0
2024-04-04	0.0	0.0	534.0
2024-04-05	0.4	394.0	928.0
2024-04-09	0.05	44.0	972.0
2024-04-10	0.0	0.0	972.0
2024-04-11	-0.21	-216.0	756.0
2024-04-12	-0.14	-146.0	610.0
2024-04-16	0.12	114.0	724.0
2024-04-17	-0.3	-306.0	418.0
2024-04-18	0.07	64.0	482.0
2024-04-19	0.12	114.0	596.0
2024-04-23	0.0	0.0	596.0
2024-04-24	0.07	64.0	660.0
2024-04-25	0.4	394.0	1054.0
2024-04-26	0.0	0.0	1054.0
2024-04-30	0.0	0.0	1054.0
2024-05-02	0.0	0.0	1054.0
2024-05-03	0.4	394.0	1448.0
2024-05-07	0.0	0.0	1448.0
2024-05-08	0.0	0.0	1448.0
2024-05-09	0.0	0.0	1448.0
2024-05-10	0.0	0.0	1448.0
2024-05-14	-0.3	-306.0	1142.0
2024-05-15	0.3	294.0	1436.0
2024-05-16	0.0	0.0	1436.0
2024-05-17	0.0	0.0	1436.0
2024-05-21	0.0	0.0	1436.0
2024-05-22	0.0	0.0	1436.0
2024-05-23	-0.13	-136.0	1300.0
2024-05-24	-0.1	-106.0	1194.0
2024-05-28	0.0	0.0	1194.0
2024-05-29	0.0	0.0	1194.0
2024-05-30	0.0	0.0	1194.0
2024-05-31	0.0	0.0	1194.0
