pnl,dir,ix,ts,cumul,year
0.53,SHORT,12139,2021-10-05 16:00:00,3.7299999999999986,2021
-0.34,LONG,12145,2021-10-06 08:00:00,3.389999999999999,2021
0.5,LONG,12152,2021-10-06 15:00:00,3.889999999999999,2021
-0.12,LONG,12182,2021-10-08 17:00:00,3.7699999999999987,2021
-0.35,LONG,12208,2021-10-12 15:00:00,3.4199999999999986,2021
-0.34,LONG,12211,2021-10-12 18:00:00,3.0799999999999987,2021
0.52,LONG,12217,2021-10-13 10:00:00,3.5999999999999988,2021
-0.27,SHORT,12222,2021-10-13 15:00:00,3.3299999999999987,2021
-0.39,SHORT,12237,2021-10-14 16:00:00,2.9399999999999986,2021
-0.31,LONG,12277,2021-10-19 14:00:00,2.6299999999999986,2021
-0.44,LONG,12310,2021-10-21 19:00:00,2.1899999999999986,2021
0.6,LONG,12334,2021-10-25 15:00:00,2.7899999999999987,2021
-0.41,SHORT,12359,2021-10-27 12:00:00,2.3799999999999986,2021
-0.39,SHORT,12365,2021-10-27 18:00:00,1.9899999999999984,2021
-0.08,LONG,12383,2021-10-29 08:00:00,1.9099999999999984,2021
0.8,LONG,12416,2021-11-02 13:00:00,2.709999999999998,2021
-0.44,SHORT,12445,2021-11-04 14:00:00,2.2699999999999982,2021
-0.47,SHORT,12454,2021-11-05 09:00:00,1.7999999999999983,2021
-0.45,SHORT,12459,2021-11-05 14:00:00,1.3499999999999983,2021
-0.22,SHORT,12500,2021-11-10 13:00:00,1.1299999999999983,2021
-0.44,LONG,12506,2021-11-10 19:00:00,0.6899999999999984,2021
0.67,LONG,12537,2021-11-15 08:00:00,1.3599999999999985,2021
0.61,SHORT,12544,2021-11-15 15:00:00,1.9699999999999984,2021
-0.69,SHORT,12595,2021-11-19 10:00:00,1.2799999999999985,2021
-0.39,SHORT,12598,2021-11-19 13:00:00,0.8899999999999985,2021
0.62,SHORT,12618,2021-11-22 19:00:00,1.5099999999999985,2021
-0.57,LONG,12625,2021-11-23 12:00:00,0.9399999999999985,2021
-0.42,SHORT,12693,2021-11-30 10:00:00,0.5199999999999985,2021
-0.6,LONG,14485,2022-06-02 10:00:00,-0.08000000000000151,2022
-0.54,LONG,14519,2022-06-06 16:00:00,-0.6200000000000015,2022
-0.53,LONG,14552,2022-06-08 21:00:00,-1.1500000000000017,2022
0.75,SHORT,14558,2022-06-09 13:00:00,-0.4000000000000017,2022
-0.61,LONG,14560,2022-06-09 15:00:00,-1.0100000000000016,2022
-0.68,LONG,14575,2022-06-10 16:00:00,-1.6900000000000017,2022
-0.73,LONG,14584,2022-06-13 11:00:00,-2.4200000000000017,2022
-0.85,LONG,14605,2022-06-14 18:00:00,-3.270000000000002,2022
1.34,LONG,14614,2022-06-15 13:00:00,-1.9300000000000017,2022
-1.09,SHORT,14622,2022-06-15 21:00:00,-3.020000000000002,2022
1.56,SHORT,14624,2022-06-16 09:00:00,-1.4600000000000017,2022
-1.39,LONG,14626,2022-06-16 11:00:00,-2.8500000000000014,2022
1.87,LONG,14631,2022-06-16 16:00:00,-0.9800000000000013,2022
0.19,SHORT,14681,2022-06-22 10:00:00,-0.7900000000000014,2022
-0.9,SHORT,14685,2022-06-22 14:00:00,-1.6900000000000013,2022
-0.91,SHORT,14694,2022-06-23 09:00:00,-2.6000000000000014,2022
-0.98,SHORT,14700,2022-06-23 15:00:00,-3.5800000000000014,2022
-0.29,LONG,14724,2022-06-27 11:00:00,-3.8700000000000014,2022
-0.98,LONG,14736,2022-06-28 09:00:00,-4.850000000000001,2022
1.43,LONG,14758,2022-06-29 17:00:00,-3.4200000000000017,2022
-1.02,SHORT,14764,2022-06-30 09:00:00,-4.440000000000001,2022
-0.97,SHORT,14771,2022-06-30 16:00:00,-5.410000000000001,2022
-0.98,SHORT,14785,2022-07-01 16:00:00,-6.390000000000001,2022
1.59,SHORT,14794,2022-07-04 11:00:00,-4.800000000000001,2022
-1.0,SHORT,14814,2022-07-05 17:00:00,-5.800000000000001,2022
-0.96,SHORT,14825,2022-07-06 14:00:00,-6.760000000000001,2022
1.44,SHORT,14831,2022-07-06 20:00:00,-5.32,2022
1.39,LONG,14876,2022-07-12 09:00:00,-3.9300000000000006,2022
-0.76,SHORT,14878,2022-07-12 11:00:00,-4.69,2022
1.21,SHORT,14895,2022-07-13 14:00:00,-3.4800000000000004,2022
1.21,LONG,14897,2022-07-13 16:00:00,-2.2700000000000005,2022
